# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (5.000000e-01 2.500000e-01 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00514707    	5.007432e-02	2.504038e-02	2.503395e-02	-1.286256e-04	-8.061621e-05	-4.800939e-05	-1.630341e-05	3.215640e-06	1.251858e-03	6.725769e-20	1.251858e-03	-1.251858e-03
0.00989353    	9.822526e-02	4.911738e-02	4.910788e-02	-1.900781e-04	-1.045541e-04	-8.552402e-05	-9.515053e-06	4.751954e-06	2.455631e-03	5.803384e-20	2.455631e-03	-2.455631e-03
0.0144924     	8.773958e-02	4.387369e-02	4.386589e-02	-1.560498e-04	-8.567875e-05	-7.037100e-05	-7.653876e-06	3.901244e-06	2.193489e-03	5.393576e-20	2.193489e-03	-2.193489e-03
0.018985      	8.179721e-02	4.090225e-02	4.089496e-02	-1.458612e-04	-7.891667e-05	-6.694449e-05	-5.986092e-06	3.646529e-06	2.044930e-03	5.143654e-20	2.044930e-03	-2.044930e-03
0.0233849     	7.800567e-02	3.900645e-02	3.899922e-02	-1.446320e-04	-7.674455e-05	-6.788742e-05	-4.428568e-06	3.615799e-06	1.950142e-03	4.957694e-20	1.950142e-03	-1.950142e-03
0.0277031     	7.540957e-02	3.770848e-02	3.770109e-02	-1.477435e-04	-7.692130e-05	-7.082218e-05	-3.049559e-06	3.693587e-06	1.885239e-03	4.808072e-20	1.885239e-03	-1.885239e-03
0.0319503     	7.356135e-02	3.678450e-02	3.677685e-02	-1.528254e-04	-7.834406e-05	-7.448129e-05	-1.931385e-06	3.820634e-06	1.839034e-03	4.681072e-20	1.839034e-03	-1.839034e-03
0.0361297     	7.216554e-02	3.608672e-02	3.607882e-02	-1.578681e-04	-8.002910e-05	-7.783895e-05	-1.095075e-06	3.946701e-06	1.804139e-03	4.560957e-20	1.804139e-03	-1.804139e-03
0.0402472     	7.110844e-02	3.555830e-02	3.555014e-02	-1.632407e-04	-8.210795e-05	-8.113274e-05	-4.876033e-07	4.081017e-06	1.777711e-03	4.450468e-20	1.777711e-03	-1.777711e-03
0.0443114     	7.031287e-02	3.516066e-02	3.515221e-02	-1.689566e-04	-8.453742e-05	-8.441921e-05	-5.910547e-08	4.223916e-06	1.757822e-03	4.345314e-20	1.757822e-03	-1.757822e-03
0.0483261     	6.970720e-02	3.485797e-02	3.484923e-02	-1.748739e-04	-8.717688e-05	-8.769703e-05	2.600768e-07	4.371848e-06	1.742680e-03	4.245822e-20	1.742680e-03	-1.742680e-03
0.0522883     	6.923356e-02	3.462130e-02	3.461227e-02	-1.806244e-04	-8.980803e-05	-9.081634e-05	5.041555e-07	4.515609e-06	1.730839e-03	4.144043e-20	1.730839e-03	-1.730839e-03
0.0562113     	6.889169e-02	3.445050e-02	3.444119e-02	-1.861414e-04	-9.235957e-05	-9.378187e-05	7.111498e-07	4.653536e-06	1.722292e-03	4.047024e-20	1.722292e-03	-1.722292e-03
